DateTime,AddedIPs,RemovedIPs
1503990756,1,0
1503994603,2,0
1503998443,2,0
1504002292,1,0
1504006129,1,0
1504013792,1,0
1504017662,1,0
1504036862,1,0
1504044505,1,0
1504052202,3,0
1504056048,1,0
1504077165,2,0
1504081010,3,0
1504088677,3,0
1504092525,3,0
1504096352,3,0
1504100255,2,0
1504115583,2,0
1504123513,3,0
1504131194,2,0
1504135059,2,0
1504138872,1,0
1504184949,1,0
1504192888,1,0
1504196717,3,0
1504204416,3,0
1504212086,2,0
1504219762,3,0
1504227416,1,0
1504231291,1,0
1504235106,1,0
1504246880,4,0
1504254571,1,0
1504281454,1,0
1504285313,1,0
1504289126,1,0
1504300635,1,0
1504312187,1,0
1504315993,2,0
1504323685,1,0
1504335194,1,0
1504342876,1,0
1504350567,1,0
1504358255,1,0
1504362105,1,0
1504369793,2,0
1504424001,1,0
1504435777,1,0
1504454964,1,0
1504538712,6,0
1504542751,3,0
1504550250,2,0
1504554079,1,0
1504557919,1,0
1504562291,1,0
1504573766,3,0
1504577617,1,0
1504585524,2,0
1504589396,2,0
1504593203,1,0
1504600918,1,0
1504612718,1,0
1504624200,1,0
1504639549,1,0
1504643385,2,0
1504735559,1,0
1504859870,1,0
1504871341,2,0
1504985354,2,0
1505069578,1,0
1505107990,1,0
1505158398,1,0
1505294482,1,0
1505329840,1,0
1505395308,1,0
1505402974,1,0
1505414683,0,0
1505433957,1,0
1505472370,1,0
1505500017,2,0
1505503773,5,0
1505588826,1,0
1505685022,1,0
1505708257,1,0
1505840106,1,0
1505851764,2,0
1505971077,1,0
1506021239,1,0
1506033102,1,0
1506063758,1,0
1506110067,1,0
1506284100,3,0
1506365602,3,0
1506411677,1,0
1506538639,1,0
1506627670,1,0
1506717479,1,0
1506753274,1,0
1506795811,2,0
1506900883,1,0
1506990916,2,0
1506994662,1,0
1507059935,1,0
1507094686,0,220
1507148931,1,0
1507234640,1,0
1507402378,1,0
1507490950,1,0
1507494803,1,0
1507580414,1,0
1507584319,1,0
1507595867,6,0
1507599659,2,0
1507603494,4,0
1507607353,1,0
1507611206,2,0
1507615012,3,0
1507618878,3,0
1507630660,13,0
1507634501,2,0
1507638349,1,0
1507642158,1,0
1507646007,2,0
1507649864,1,0
1507657502,1,0
1507669314,1,0
1507673127,2,0
1507677215,2,0
1507684887,1,0
1507688753,3,0
1507692554,2,0
1507696429,6,0
1507700264,5,0
1507704084,4,0
1507707944,3,0
1507711780,7,0
1507715605,2,0
1507719431,8,0
1507727127,7,0
1507730957,4,0
1507734801,2,0
1507738639,4,0
1507742483,3,0
1507747202,3,0
1507750894,1,0
1507754726,1,0
1507758556,1,0
1507762400,1,0
1507766238,1,0
1507785432,1,0
1507797188,5,0
1507801054,5,0
1507804841,1,0
1507808690,1,0
1507812542,4,0
1507816368,5,0
1507820216,2,0
1507824966,2,0
1507828874,3,0
1507836591,4,0
1507840397,2,0
1507844220,3,0
1507874968,1,0
1507878803,3,0
1507882622,1,0
1507890299,1,0
1507894144,2,0
1507898053,1,0
1507901890,4,0
1507905670,1,0
1507910199,2,0
1507914170,4,0
1507917925,4,0
1507922011,2,0
1507925846,3,0
1507929724,1,0
1507933509,2,0
1507957107,1,0
1507960777,3,0
1507976245,2,0
1507980293,1,0
1507991825,6,0
1507995685,2,0
1507999520,3,0
1508003355,3,0
1508007373,5,0
1508011297,5,0
1508015128,3,0
1508018977,1,0
1508022817,2,0
1508034319,1,0
1508038140,2,0
1508042019,2,0
1508045891,2,0
1508053513,3,0
1508057379,1,0
1508061191,4,0
1508065004,2,0
1508068862,2,0
1508076759,2,0
1508080602,2,0
1508088553,5,0
1508092378,3,0
1508096209,4,0
1508100052,2,0
1508103894,2,0
1508107745,3,0
1508134620,2,0
1508138478,6,0
1508142307,4,0
1508146171,3,0
1508149986,5,0
1508153842,1,0
1508157653,3,0
1508161489,2,0
1508165573,5,0
1508169408,4,0
1508173266,1,0
1508177111,3,0
1508180927,6,0
1508184784,3,0
1508188642,1,0
1508227737,4,0
1508239275,12,0
1508246968,6,0
1508250800,1,0
1508254669,1,0
1508258501,3,0
1508262300,6,0
1508270010,7,0
1508273819,1,0
1508281504,4,0
1508285341,7,0
1508293025,8,0
1508296902,3,0
1508300727,5,0
1508308424,10,3
1508312507,2,1
1508316295,4,2
1508320160,4,2
1508327824,4,3
1508331665,2,2
1508335791,3,3
1508339604,1,2
1508343443,2,2
1508347273,2,1
1508351120,4,5
1508354939,3,2
1508358782,1,3
1508362676,4,4
1508366493,2,2
1508370286,2,2
1508374141,0,1
1508378007,1,1
1508381801,0,1
1508385685,3,2
1508389512,4,2
1508393352,3,3
1508397152,0,1
1508401021,3,4
1508404866,5,4
1508408680,3,3
1508412520,4,5
1508416381,2,1
1508420220,4,3
1508424066,2,1
1508427873,5,5
1508431738,5,5
1508435570,2,2
1508439410,5,5
1508443255,2,3
1508447090,5,4
1508450917,3,3
1508454775,2,3
1508458860,1,2
1508462705,4,3
1508466773,6,4
1508470862,4,3
1508474675,1,2
1508478539,4,4
1508486225,4,3
1508490057,8,8
1508493901,3,5
1508497736,6,5
1508501565,1,0
1508505408,4,4
1508509245,0,1
1508513086,1,1
1508516934,1,0
1508520777,3,3
1508524930,3,0
1508528704,5,4
1508532536,2,2
1508536402,1,1
1508570832,3,3
1508574701,2,2
1508578440,3,2
1508582322,8,8
1508605494,3,3
1508609349,7,5
1508613353,6,4
1508617031,2,1
1508620870,3,2
1508624977,2,2
1508628807,2,4
1508636462,1,0
1508640625,1,1
1508648228,2,3
1508652092,2,2
1508655912,3,1
1508659778,5,5
1508667424,6,6
1508671306,1,2
1508675077,1,1
1508682848,1,1
1508690476,3,4
1508694292,1,3
1508698162,1,1
1508710117,6,7
1508714047,4,4
1508718079,2,2
1508721936,2,3
1508725803,3,3
1508733429,1,1
1508737495,1,1
1508741423,4,3
1508745239,4,4
1508749025,4,4
1508752909,7,7
1508756787,4,5
1508760553,3,3
1508768230,8,7
1508772090,2,2
1508775928,4,4
1508779776,6,6
1508795159,14,15
1508799043,5,5
1508802813,1,1
1508806729,3,3
1508814319,10,13
1508818158,4,3
1508822069,3,5
1508826112,5,5
1508834001,12,12
1508841727,6,7
1508845528,4,4
1508849382,4,5
1508853239,4,5
1508861752,7,6
1508865467,2,3
1508870226,6,6
1508874107,3,5
1508877946,3,4
1508881861,2,2
1508885623,1,2
1508889481,1,1
1508893323,2,3
1508897197,2,1
1508901162,2,3
1508905109,5,5
1508908856,7,6
1508912673,1,0
1508916527,0,2
1508920373,8,11
1508928101,7,4
1508935779,4,7
1508939558,1,1
1508943400,0,2
1508947637,1,3
1508951338,3,3
1508955257,2,3
1508959033,2,4
1508962883,1,1
1508966722,2,3
1508970598,1,1
1508974398,1,1
1508982302,1,0
1508994104,2,2
1508997943,6,8
1509001737,2,3
1509005603,2,2
1509009473,7,8
1509013276,3,3
1509024781,8,12
1509028683,4,3
1509032408,3,3
1509036100,4,9
1509039918,3,3
1509043791,4,4
1509047595,4,5
1509051491,1,1
1509060673,0,1
1509064504,1,1
1509087450,1,1
1509098978,5,6
1509102823,3,3
1509106760,2,2
1509110759,3,3
1509126309,11,8
1509130148,2,2
1509134035,2,2
1509145540,1,1
1509149934,0,1
1509153735,1,1
1509161349,3,4
1509165277,2,2
1509169173,1,1
1509172962,1,1
1509176756,2,2
1509180562,0,1
1509188251,3,3
1509195928,2,5
1509203630,0,2
1509207454,1,1
1509211363,3,2
1509215375,4,5
1509236622,0,369
1509240293,1,0
1509244134,2,0
1509247993,3,0
1509251833,3,0
1509259500,1,0
1509271028,2,0
1509278694,8,0
1509282534,1,0
1509290200,2,0
1509294033,1,0
1509301721,2,0
1509305579,2,0
1509309399,2,0
1509313270,3,0
1509317083,3,0
1509325032,3,0
1509328895,1,0
1509332696,1,0
1509336521,6,0
1509340383,3,0
1509348064,1,0
1509351887,2,0
1509355719,2,0
1509359578,4,0
1509363409,2,0
1509371098,2,0
1509386497,1,0
1509394129,2,0
1509398109,1,0
1509405629,2,0
1509409488,1,0
1509420989,4,0
1509432276,3,0
1509440080,2,0
1509482588,1,0
1509498592,4,0
1509502408,2,0
1509510074,1,0
1509521592,1,0
1509525395,3,0
1509533106,1,0
1509536932,2,0
1509541027,3,0
1509544897,4,0
1509772628,9,0
1509776491,4,0
1509780283,6,0
1509784131,2,0
1509787984,7,0
1509795648,3,0
1509799483,4,0
1509803333,3,0
1509807179,1,0
1509818687,1,0
1509822540,1,0
1509826377,2,0
1509830215,1,0
1509872502,1,0
1509887840,1,0
1509891714,3,0
1509895956,2,0
1509899820,2,0
1509903641,1,0
1509907468,3,0
1509911365,3,0
1509915186,3,0
1509919001,2,0
1509926683,3,0
1509953836,2,0
1509965337,1,0
1509969177,1,0
1509996551,1,0
1510066368,2,0
1510070198,1,0
1510132615,1,0
1510136446,2,0
1510140275,2,0
1510151825,1,0
1510175111,1,0
1510256484,1,0
1510341181,1,0
1510441493,1,0
1510561750,1,0
